ticks;name;search_competence;remove_competence;rescue_competence;search_willingness;remove_willingness;rescue_willingness
108;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
109;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
110;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
111;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
112;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
113;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
114;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
115;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
116;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
117;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
118;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
119;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
120;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
121;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
122;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
123;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
124;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
125;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
126;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
127;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
128;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
129;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
130;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
131;Delilah;-0.39999999999999986;1.0;1.0;-0.5999999999999999;1.0;-1.0
